# massnumber, rigidity, px, py, pz, Nparticles, label
1.000000000000000000e+00 6.309573444801943962e+19 -8.642533059225050440e-01 3.767693088494734610e-01 -3.333333333333333148e-01 5.324946931688354992e-19 4.000000000000000000e+00
1.100000000000000000e+01 2.621846821024192512e+18 -2.023995970293411828e-01 8.761439111940231284e-01 -4.375000000000000000e-01 4.464646680310033894e-02 2.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000164e+20 1.110751083633083475e-01 -2.681590330527606758e-01 9.569498697916666297e-01 3.133299137896223827e-23 1.000000000000000000e+00
1.000000000000000000e+00 9.120108393559115366e+19 -8.221698578535056035e-01 4.791748704120120106e-01 -3.072916666666666297e-01 5.460841164524715032e-21 2.000000000000000000e+00
1.000000000000000000e+00 4.365158322401665024e+19 -8.318410319628631866e-01 4.315884372178906414e-01 -3.489583333333333148e-01 3.544676163057824073e-13 4.000000000000000000e+00
1.000000000000000000e+00 9.120108393559115776e+18 -4.222079419238868869e-01 4.019753770772481749e-01 -8.125000000000000000e-01 2.920313989266407062e-02 4.000000000000000000e+00
4.000000000000000000e+00 2.387481465053592064e+18 1.574811667699214934e-01 4.120680346004971795e-01 -8.974405924479166297e-01 5.085620347861050800e-02 2.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+19 -9.020864963027752648e-01 3.227717094977065049e-01 -2.864583333333333148e-01 2.133494358652664527e-02 4.000000000000000000e+00
1.300000000000000000e+01 1.014043645043392512e+18 1.407344566082588053e-02 -6.569246561142370044e-01 -7.538248697916667407e-01 5.046874785878210923e-02 1.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.039756466036780402e-01 5.091119633886244111e-01 -3.072916666666666297e-01 1.154217693744753102e-26 2.000000000000000000e+00
1.000000000000000000e+00 8.317637711026674074e+19 -8.039756466036780402e-01 5.091119633886244111e-01 -3.072916666666666297e-01 9.998379783444504835e-26 2.000000000000000000e+00
1.000000000000000000e+00 1.737800828749369139e+19 -2.998443154861686333e-01 7.351294816811818067e-02 -9.511515299479166297e-01 7.981325025476811033e-04 0.000000000000000000e+00
