# rigidity, px, py, pz, Nparticles, x0, y0, z0
4.344502071873422848e+18 5.490391546520804189e-01 -2.531105171624459249e-01 -7.965494791666667407e-01 3.651885649374697574e-04 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
3.613599426864819712e+18 6.651864751860205871e-01 -1.525074227688796302e-01 -7.309366861979167407e-01 1.017821024717975630e-03 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
8.317637711026674074e+19 6.051129348242320072e-01 -6.278108758460840821e-01 4.895833333333333148e-01 1.057543051222762953e-46 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.292538746498505114e+19 5.457408011586566410e-01 -8.060084471267013884e-01 2.291666666666666574e-01 2.352196960599569235e-42 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
2.528591916763940045e+19 6.149533012614323280e-01 -6.302348257051136882e-01 4.739583333333333148e-01 6.413699244903290197e-16 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
5.011872336272715776e+19 8.907488889637854568e-02 5.002338461766964346e-03 -9.960123697916666297e-01 1.244865812685438288e-28 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
9.504734908014069760e+18 6.071156607694195850e-01 -7.305849193957612009e-01 3.125000000000000000e-01 5.986256800055808423e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
9.549925860214368256e+18 4.544659213416431531e-01 -8.892401546983695892e-01 -5.208333333333332871e-02 2.235411145930934844e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.737800828749369139e+19 6.071156607694195850e-01 -7.305849193957612009e-01 3.125000000000000000e-01 1.167913810970225284e-10 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.549252146524975616e+18 6.624648617532780115e-01 -6.543846728016831094e-01 3.645833333333333148e-01 3.141236593381886754e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.162277660168379187e+19 5.716618262675648987e-01 -8.116974269921366503e-01 -1.197916666666666574e-01 3.336267561431819434e-10 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
6.575669979738426368e+18 4.807309409501903663e-01 -8.608832584243736319e-01 1.666666666666666574e-01 4.668671464251863078e-05 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
9.952679263837464166e+19 6.319016879832634048e-01 -7.699744346325996247e-01 -8.854166666666665741e-02 2.574918611724171562e-56 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.142720474037187994e+19 5.670213782940269898e-01 -8.156944380586176324e-01 -1.145833333333333287e-01 3.059258047473220151e-08 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
2.280027098389778944e+18 8.506689034931090576e-02 -9.878306606381752619e-01 1.302083333333333148e-01 5.786331553054716199e-03 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.467368504525309133e+19 4.849684331451890595e-01 -8.439717161976396653e-01 2.291666666666666574e-01 1.258198254521419419e-20 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.801893963205627904e+19 5.834971210827257782e-01 -8.072741064545919665e-01 -8.854166666666665741e-02 1.203279222772429534e-22 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
2.187761623949552026e+19 1.588857930676502161e-01 4.993187203452812382e-03 -9.872843424479166297e-01 3.379337797726522117e-13 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.659586907437556326e+19 6.354394616393286288e-01 -6.432857195526798799e-01 4.270833333333333148e-01 1.443346602144696662e-10 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.870384053742198272e+18 4.440257534364520087e-01 -8.957717915336546044e-01 -2.083333333333333218e-02 2.464494657974638982e-03 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
