# massnumber, rigidity, px, py, pz, Nparticles, x0, y0, z0
1.000000000000000000e+00 1.584893192461110804e+20 6.102313249623274594e-01 -6.102313249623276814e-01 5.052083333333332593e-01 1.883250053092870860e-46 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 5.727169131919425536e+18 4.724073081655844608e-01 -8.709154158588741090e-01 -1.354166666666666574e-01 1.224660554008423366e-04 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 1.047128548050898289e+20 6.434279350306951750e-01 -7.552320785176802609e-01 -1.250000000000000000e-01 8.364351762324005345e-59 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
2.000000000000000000e+00 1.315133995947685478e+20 1.447791223435463542e-02 2.841450264892595237e-02 -9.994913736979166297e-01 4.065853109105787804e-73 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 3.981071705534985830e+19 5.939402247351592834e-01 -6.086995764513920548e-01 5.260416666666666297e-01 7.845687928890866222e-24 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 8.668421261313272832e+18 6.477521059777505696e-01 -6.477521059777507917e-01 4.010416666666666297e-01 4.255629750559946473e-06 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 1.202264434617417933e+19 5.902637129979768638e-01 -7.375111751647170921e-01 3.281250000000000000e-01 3.537071343471439218e-08 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 9.120108393559115366e+19 5.953844360080492448e-01 -6.027361038293433948e-01 5.312500000000000000e-01 5.596162852409071734e-65 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 1.985820586810697216e+18 -1.393625996537738443e-01 -9.809385262118268667e-01 -1.354166666666666574e-01 1.690981856530701655e-02 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 5.011872336272715776e+19 6.319634342859583587e-01 -6.091153612256490213e-01 4.791666666666666297e-01 2.829979689139095077e-28 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 5.282977308203702682e+19 5.200961323364780564e-02 2.425248094852953604e-02 -9.983520507812500000e-01 1.780848138894144493e-30 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 2.187761623949552026e+19 6.376221118070465321e-01 -6.376221118070466432e-01 4.322916666666666297e-01 7.742274843585562964e-08 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 2.290867652767770214e+19 2.204703154356003891e-01 -2.484103860083398257e-02 -9.750773111979166297e-01 6.930662123507174557e-14 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 4.168693834703363277e+19 5.495710452191769901e-01 -8.116653616560565165e-01 1.979166666666666574e-01 1.413206434099280399e-24 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 1.995262314968882872e+20 6.117799114192314924e-01 -6.043179348428822095e-01 5.104166666666666297e-01 1.128652926944140584e-77 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 1.749358200832570778e+19 5.244394127721779819e-01 -8.170453651542625151e-01 2.395833333333333148e-01 1.293894676877650923e-11 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 1.000000000000000000e+19 -1.464386698979964173e-02 3.535342229236199812e-02 -9.992675781250000000e-01 2.751856669905469763e-07 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 1.819700858609990246e+19 6.397329283227173313e-01 -6.319300043672883005e-01 4.375000000000000000e-01 1.328704913673768966e-10 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.000000000000000000e+00 1.044648065427020349e+20 5.924145567863179362e-01 -6.146361783987007721e-01 5.208333333333332593e-01 4.106232929508984342e-59 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 2.103191148267314790e+19 6.331856233665634770e-01 -6.489202190846702356e-01 4.218750000000000000e-01 1.230296790330344355e-13 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 1.584893192461110886e+19 5.981045452674021989e-01 -7.379801507699743635e-01 3.125000000000000000e-01 1.202912582432614778e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 8.709635899560833024e+18 3.584815393862098576e-01 -9.293284452674319684e-01 8.854166666666665741e-02 4.972163203241134234e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 9.120108393559115366e+19 6.051129348242320072e-01 -6.278108758460840821e-01 4.895833333333333148e-01 2.049496699529690901e-26 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
